,Alloy composition,,,,,,,,,,,,,,Heat Treatment,,,,,,Microstructure and Phases,,Allot Discription ,,
Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,"The alloy Al0.5NbTaTiV , is having 5 elemental composition and without heat treatment it is showing BCC microstructure and BCC_SS Phases",,References
AlCoCrFeMo0.3Ni,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0,0,0,0,0,0.056603774,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2010.07.028
AlCoCrFeMo0.4Ni,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0,0,0,0.074074074,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2010.07.028
AlCoCrFeMo0.5Ni,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2010.07.028
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2011.10.110
AlCoCrFeNb0.1Ni,0.196078431,0.196078431,0.196078431,0.196078431,0.196078431,0,0,0,0,0.019607843,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2011.10.110
AlCoCrFeNb0.25Ni,0.19047619,0.19047619,0.19047619,0.19047619,0.19047619,0,0,0,0,0.047619048,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2011.10.110
AlCoCrFeNb0.5Ni,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0.090909091,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2011.10.110
AlCoCrFeNiSi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2010.07.049
AlCoCrFeNiSi0.4,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2010.07.049
AlCoCrFeNiSi0.6,0.178571429,0.178571429,0.178571429,0.178571429,0.178571429,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2010.07.049
AlCoCrFeNiSi0.8,0.172413793,0.172413793,0.172413793,0.172413793,0.172413793,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2010.07.049
AlCoCrFeNiSi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2010.07.049
CoCrCu1FeNiTi0.5,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0.111111111,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2008.11.059
Al0.5CoCrCu0.5FeNiTi0.5,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0.090909091,0,0.090909091,0,0,0,0,0,0,,,,,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.jallcom.2008.11.059
Al0.75CoCrCu0.25FeNiTi0.5,0.136363636,0.181818182,0.181818182,0.181818182,0.181818182,0.045454545,0,0.090909091,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2008.11.059
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2008.11.059
AlCoCrFeNiTi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1063/1.2734517
AlCoCrFeNiTi1.5,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154,0,0,0.230769231,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1063/1.2734517
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,1000,1440,,,AQ,,FCC,FCC_SS,,,10.1016/j.jallcom.2014.12.157
CoCrFeMnNiV0.25,0,0.19047619,0.19047619,0.19047619,0.19047619,0,0.19047619,0,0.047619048,0,0,0,0,0,1000,1440,,,AQ,,FCC,FCC_SS,,,10.1016/j.jallcom.2014.12.157
CoCrFeMnNiV0.5,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0.181818182,0,0.090909091,0,0,0,0,0,1000,1440,,,AQ,,FCC,FCC_SS,,,10.1016/j.jallcom.2014.12.157
CoCrFeMnNiV0.75,0,0.173913043,0.173913043,0.173913043,0.173913043,0,0.173913043,0,0.130434783,0,0,0,0,0,1000,1440,,,AQ,,FCC + Im,Im,,,10.1016/j.jallcom.2014.12.157
CoCrFeMnNiV1.0,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0,0,0,0,1000,1440,,,AQ,,FCC + Im,Im,,,10.1016/j.jallcom.2014.12.157
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,1000,1440,900,30,,,FCC,FCC_SS,,,10.1016/j.jallcom.2019.06.005
AlCrFeNi,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2013.03.253
AlCrFeNiMo0.2,0.238095238,0,0.238095238,0.238095238,0.238095238,0,0,0,0,0,0.047619048,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2013.03.253
AlCrFeNiMo0.5,0.222222222,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0.111111111,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2013.03.253
AlCrFeNiMo0.8,0.208333333,0,0.208333333,0.208333333,0.208333333,0,0,0,0,0,0.166666667,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2013.03.253
Al0.5CoCrCuFeNi,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,,,,,10 °C/min,,FCC,FCC_SS,,,10.1007/s11661-005-0283-0
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,,,10 °C/min,,FCC + BCC,FCC_PLUS_BCC,,,10.1007/s11661-005-0283-0
Al2CoCrCuFeNi,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,,,,,10 °C/min,,FCC + BCC,FCC_PLUS_BCC,,,10.1007/s11661-005-0283-0
AlCrCuFeNi0.6,0.217391304,0,0.217391304,0.217391304,0.130434783,0.217391304,0,0,0,0,0,0,0,0,,,650,240,,,FCC + BCC + Im,Im,,,10.1016/j.msea.2011.11.063
AlCrCuFeNi0.8,0.208333333,0,0.208333333,0.208333333,0.166666667,0.208333333,0,0,0,0,0,0,0,0,,,650,240,,,FCC + BCC + Im,Im,,,10.1016/j.msea.2011.11.063
AlCrCuFeNi,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,,,650,240,,,FCC + BCC + Im,Im,,,10.1016/j.msea.2011.11.063
AlCrCuFeNi1.2,0.192307692,0,0.192307692,0.192307692,0.230769231,0.192307692,0,0,0,0,0,0,0,0,,,650,240,,,FCC + BCC + Im,Im,,,10.1016/j.msea.2011.11.063
AlCrCuFeNi1.4,0.185185185,0,0.185185185,0.185185185,0.259259259,0.185185185,0,0,0,0,0,0,0,0,,,650,240,,,FCC + BCC + Im,Im,,,10.1016/j.msea.2011.11.063
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
HfNbTiZr,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,,1300,360,,FC,,BCC,BCC_SS,,,10.1016/j.matlet.2014.05.134
NbTiV2Zr,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0.2,0,0,1200,120,1200,1400,,,BCC,BCC_SS,,,10.1016/j.actamat.2012.11.032
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,1100,360,800,60,,,FCC,FCC_SS,,,10.1016/j.intermet.2018.04.022
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,https://pdfs.semanticscholar.org/ed41/eea027857bd579d3f666ddd9f10db97adf01.pdf
HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,,,,,,,BCC + Im,Im,,,10.3390/e21010015
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,1100,360,1150,60,WQ,CW,FCC,FCC_SS,,,10.3390/e20120967
VCrFeTa0.1W0.1,0,0,0.3125,0.3125,0,0,0,0,0.3125,0,0,0,0,0.03125,,,800,1500,WQ,,BCC,BCC_SS,,,10.3390/e20120951
VCrFeTa0.2W0.2,0,0,0.294117647,0.294117647,0,0,0,0,0.294117647,0,0,0,0,0.058823529,,,800,1500,WQ,,BCC,BCC_SS,,,10.3390/e20120951
VCrFeTa0.4W0.4,0,0,0.263157895,0.263157895,0,0,0,0,0.263157895,0,0,0,0,0.105263158,,,800,1500,WQ,,BCC + Im,Im,,,10.3390/e20120951
Al0.5CoCrFeNi,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.3390/e20120917
Al0.5CoCrFeNi,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC,FCC_PLUS_BCC,,,10.3390/e20120917
Al65Cu5Fe5Mg5Si15Zn5,0.65,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1038/s41598-019-43329-w
Al65Cu5Mg5Ni5Si15Zn5,0.65,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1038/s41598-019-43329-w
Al70Cr5Cu5Mg5Si10Zn5,0.7,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1038/s41598-019-43329-w
Al70Cu5Mg5Mn5Si10Zn5,0.736842105,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1038/s41598-019-43329-w
Al70Cu5Mg5Si10Zn5Zr5,0.7,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,,,,,,,FCC + Im,Im,,,10.1038/s41598-019-43329-w
MoNbHfZrTi,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2015.10.011
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC + Im,Im,,,10.1016/j.triboint.2018.10.012
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.triboint.2018.10.012
NbCrMo0.5Ta0.5TiZr,0,0,0.2,0,0,0,0,0.2,0,0.2,0.1,0.2,0,0.1,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2017.12.021
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2016.05.034
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC + Im,Im,,,10.1016/j.matlet.2015.06.046
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC + Im,Im,,,10.1007/s11665-015-1869-3
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC + Im,Im,,,10.1016/j.matchar.2019.05.022
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC + Im,Im,,,10.1016/j.matchar.2019.05.022
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,FCC + BCC + Im,Im,,,10.1016/j.matchar.2019.05.022
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,500,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,600,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,645,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,700,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,800,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,900,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,,,1000,300,,,FCC + BCC,FCC_PLUS_BCC,,,10.1016/j.intermet.2008.08.012
MoNbTaVW,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
Nb42Mo20Ti13Cr12V12Ta1,0,0,0.12,0,0,0,0,0.13,0.12,0.42,0.2,0,0,0.01,,,,,,,BCC + Im,Im,,,10.1016/j.ijrmhm.2019.02.009
HfMo0.5NbTiV0.5Si0.7,0,0,0,0,0,0,0,0.212765957,0.106382979,0.212765957,0.106382979,0,0.212765957,0,,,,,,,BCC + Im,Im,,,10.1016/j.ijrmhm.2019.02.009
HfMo0.5NbTiV0.5Si0.3,0,0,0,0,0,0,0,0.23255814,0.11627907,0.23255814,0.11627907,0,0.23255814,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2016.10.014
HfMo0.5NbTiV0.5Si0.5,0,0,0,0,0,0,0,0.222222222,0.111111111,0.222222222,0.111111111,0,0.222222222,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2016.10.014
HfMo0.5NbTiV0.5Si0.7,0,0,0,0,0,0,0,0.212765957,0.106382979,0.212765957,0.106382979,0,0.212765957,0,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2016.10.014
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1063/1.2734517
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.msea.2015.08.078
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,1100,60,1150,3000,,,FCC + BCC + Im,Im,,,10.1016/j.msea.2015.08.078
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,850,180,,,,,FCC + BCC + Im,Im,,,10.1016/j.jallcom.2016.05.034
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,975,180,,,,,FCC + BCC + Im,Im,,,10.1016/j.jallcom.2016.05.034
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,1100,180,,,,,FCC + BCC + Im,Im,,,10.1016/j.jallcom.2016.05.034
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,1200,180,,,,,BCC + Im,Im,,,10.1016/j.jallcom.2016.05.034
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,500,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,700,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNi ,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,900,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,0,0,0,0,,,500,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,0,0,0,0,,,700,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,0,0,0,0,,,900,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
CrMoNbTiV,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2018.11.001
CrMoNbTiZr,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,,,,,,,BCC + Im,Im,,,10.1016/j.intermet.2018.11.001
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,1000,1440,,,,,FCC + Im,Im,,,10.1016/j.intermet.2019.106486
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.msea.2018.12.005
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.msea.2018.12.005
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.msea.2018.12.005
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2018.02.298
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,1150,180,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2018.02.298
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.intermet.2019.106550
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.matchemphys.2017.05.056
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2019.152479
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2019.02.050
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2019.02.050
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,1100,1440,550,0,,,FCC,FCC_SS,,,10.1016/j.msea.2019.138526
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1007/s11665-015-1869-3
AlCoCrFeNiTi0.4,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0.074074074,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1007/s11665-015-1869-3
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,0,0,0,0,,,,,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,0,0,0,0,,,500,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,0,0,0,0,,,700,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.2,0.192307692,0.192307692,0.192307692,0.192307692,0.192307692,0,0,0.038461538,0,0,0,0,0,0,,,900,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.4,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0.074074074,0,0,0,0,0,0,,,500,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.4,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0.074074074,0,0,0,0,0,0,,,700,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
AlCoCrFeNiTi0.4,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0,0,0.074074074,0,0,0,0,0,0,,,900,120,,,BCC,BCC_SS,,,10.1007/s40195-012-0174-5
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,1200,1400,925,60,,,FCC,FCC_SS,,,10.1016/j.actamat.2017.04.033
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,1200,2880,950,60,AQ,,FCC,FCC_SS,,,10.1016/j.actamat.2017.02.036
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,1200,120,800,120,WQ,,FCC,FCC_SS,,,10.1016/j.actamat.2017.07.029
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jallcom.2019.05.208
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,,,600,60,,,FCC,FCC_SS,,,10.1016/j.scriptamat.2019.01.016
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,,,700,60,,,FCC,FCC_SS,,,10.1016/j.scriptamat.2019.01.016
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,,,900,60,,,FCC,FCC_SS,,,10.1016/j.scriptamat.2019.01.016
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,1200,1440,800,60,,,FCC,FCC_SS,,,10.1038/ncomms10602
MoNbTaTiV,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2016.11.188
CrNbTiZr,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0,0,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
ZrTiHfV0.5Nb0.5,0,0,0,0,0,0,0,0.25,0.125,0.125,0,0.25,0.25,0,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
Zr2.0TiHfVNb2.0,0,0,0,0,0,0,0,0.142857143,0.142857143,0.285714286,0,0.285714286,0.142857143,0,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
ZrTiHfNb0.5Mo0.5,0,0,0,0,0,0,0,0.25,0,0.125,0.125,0.25,0.25,0,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
ZrTiHfNb0.5Ta0.5,0,0,0,0,0,0,0,0.25,0,0.125,0,0.25,0.25,0.125,,,,,,,BCC,BCC_SS,,,10.3390/ma11020208
NbTiZr,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0,1400,120,1400,360,20 K/min,,BCC,BCC_SS,,,10.1016/j.jallcom.2018.12.325
Ta10Nb30Ti30Zr30,0,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0.1,1400,120,1400,360,20 K/min,,BCC,BCC_SS,,,10.1016/j.jallcom.2018.12.325
Cr10Nb30Ti30Zr30,0,0,0.1,0,0,0,0,0.3,0,0.3,0,0.3,0,0,1400,120,1400,360,20 K/min,,BCC,BCC_SS,,,10.1016/j.jallcom.2018.12.325
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1088/2053-1591/ab2517
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1088/2053-1591/ab2517
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1088/2053-1591/ab2517
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1088/2053-1591/ab2517
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1088/2053-1591/ab2517
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,,,,,,,BCC + Im,Im,,,10.1088/2053-1591/ab2517
Al0.3HfNbTaTiZr,0.056603774,0,0,0,0,0,0,0.188679245,0,0.188679245,0,0.188679245,0.188679245,0.188679245,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2014.11.064
Al0.5HfNbTaTiZr,0.090909091,0,0,0,0,0,0,0.181818182,0,0.181818182,0,0.181818182,0.181818182,0.181818182,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2014.11.064
Al0.75HfNbTaTiZr,0.130434783,0,0,0,0,0,0,0.173913043,0,0.173913043,0,0.173913043,0.173913043,0.173913043,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2014.11.064
NbTaTiZr,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2018.11.054
